@RELATION AccelerometerData

@ATTRIBUTE M1 NUMERIC
@ATTRIBUTE M2 NUMERIC 
@ATTRIBUTE M3 NUMERIC 
@ATTRIBUTE M4 NUMERIC 
@ATTRIBUTE M5 NUMERIC 
@ATTRIBUTE M6 NUMERIC 
@ATTRIBUTE M7 NUMERIC 
@ATTRIBUTE M8 NUMERIC 
@ATTRIBUTE M9 NUMERIC 
@ATTRIBUTE M10 NUMERIC 
@ATTRIBUTE M11 NUMERIC 
@ATTRIBUTE M12 NUMERIC 
@ATTRIBUTE M13 NUMERIC 
@ATTRIBUTE M14 NUMERIC 
@ATTRIBUTE M15 NUMERIC 
@ATTRIBUTE M16 NUMERIC 
@ATTRIBUTE M17 NUMERIC 
@ATTRIBUTE M18 NUMERIC 
@ATTRIBUTE M19 NUMERIC 
@ATTRIBUTE M20 NUMERIC 
@ATTRIBUTE M21 NUMERIC 
@ATTRIBUTE M22 NUMERIC
@ATTRIBUTE M23 NUMERIC 
@ATTRIBUTE label   NUMERIC 

@Data
-70,-84,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-84,-86,-87,-72,0
-68,-84,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-84,-86,-87,-72,0
-59,-68,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-73,-84,-100,-87,-73,0
-61,-68,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-73,-84,-100,-87,-73,0
-61,-68,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-73,-84,-100,-87,-73,0
-61,-68,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-73,-84,-100,-87,-73,0
-62,-68,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-73,-84,-100,-87,-73,0
-63,-68,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-73,-84,-100,-87,-73,0
-63,-68,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-73,-84,-100,-87,-73,0
-63,-68,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-73,-84,-100,-87,-73,0
-65,-68,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-73,-84,-100,-87,-73,0
-65,-68,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-73,-84,-100,-87,-73,0
-66,-68,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-73,-84,-100,-87,-73,0
-67,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-73,-100,-100,-86,-73,0
-67,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-73,-100,-100,-86,-73,0
-68,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-73,-100,-100,-86,-73,0
-68,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-73,-100,-100,-86,-73,0
-68,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-73,-100,-100,-86,-73,0
-68,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-73,-100,-100,-86,-73,0
-66,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-73,-100,-100,-86,-73,0
-66,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-73,-100,-100,-86,-73,0
-68,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-73,-100,-100,-86,-73,0
-68,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-73,-100,-100,-86,-73,0
-68,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-73,-100,-100,-86,-73,0
-69,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-73,-100,-100,-86,-73,0
-69,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-73,-100,-100,-86,-73,0
-66,-76,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-86,-100,0
-67,-76,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-86,-100,0
-67,-76,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-86,-100,0
-70,-76,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-86,-100,0
-70,-76,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-86,-100,0
-72,-76,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-86,-100,0
-72,-76,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-86,-100,0
-72,-76,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-86,-100,0
-72,-76,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-86,-100,0
-72,-76,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-86,-100,0
-73,-76,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-86,-100,0
-73,-76,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-86,-100,0
